season,INNING,INNING_TB,HOME_AWAY,RUNNER_STATE,OUT_COUNT,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIED,UPPER_1,UPPER_2,UPPER_3,UPPER_4
2025,5,0,away,6,1,1.6,1.98,2.29,2.3,2.05,1.67,1.28,0.92,0.52
2025,5,0,away,7,1,2.26,2.76,3.07,3.06,2.71,2.18,1.64,1.15,0.66
2025,5,0,away,0,2,0.24,0.33,0.45,0.51,0.5,0.43,0.34,0.23,0.17
2025,5,0,away,1,2,0.58,0.79,1.02,1.15,1.12,0.93,0.72,0.51,0.34
2025,5,0,away,2,2,0.75,1.03,1.36,1.59,1.59,1.33,1.05,0.75,0.51
2025,5,0,away,3,2,1.2,1.61,2.02,2.26,2.16,1.79,1.38,0.97,0.63
2025,5,0,away,4,2,0.8,1.11,1.47,1.74,1.75,1.48,1.16,0.84,0.58
2025,5,0,away,5,2,1.23,1.66,2.09,2.35,2.27,1.88,1.45,1.02,0.67
2025,5,0,away,6,2,1.49,2.01,2.54,2.83,2.68,2.21,1.69,1.2,0.69
2025,5,0,away,7,2,2.36,3.08,3.73,4.02,3.75,3.06,2.31,1.6,0.93
2025,5,1,home,0,0,0.83,1.04,1.24,1.31,1.14,0.86,0.61,0.41,0.26
2025,5,1,home,1,0,1.37,1.72,1.95,1.99,1.69,1.27,0.87,0.59,0.36
2025,5,1,home,2,0,1.22,1.49,1.67,1.66,1.38,1.02,0.7,0.46,0.28
2025,5,1,home,3,0,2.08,2.47,2.64,2.51,2.07,1.51,1.04,0.67,0.4
2025,5,1,home,4,0,1.32,1.6,1.77,1.71,1.39,1.0,0.69,0.46,0.28
2025,5,1,home,5,0,1.84,2.13,2.23,2.0,1.56,1.12,0.76,0.48,0.28
2025,5,1,home,6,0,1.58,1.78,1.79,1.53,1.23,0.88,0.6,0.38,0.21
2025,5,1,home,7,0,3.02,3.33,3.3,2.88,2.22,1.59,1.05,0.66,0.36
2025,5,1,home,0,1,0.54,0.73,0.88,0.96,0.86,0.63,0.45,0.3,0.19
2025,5,1,home,1,1,1.07,1.37,1.63,1.73,1.52,1.12,0.79,0.53,0.32
2025,5,1,home,2,1,1.14,1.47,1.75,1.85,1.65,1.22,0.87,0.59,0.36
2025,5,1,home,3,1,1.84,2.32,2.65,2.71,2.33,1.73,1.21,0.79,0.48
2025,5,1,home,4,1,1.06,1.35,1.62,1.84,1.69,1.28,0.92,0.62,0.39
2025,5,1,home,5,1,1.66,2.05,2.3,2.34,2.09,1.58,1.12,0.74,0.45
