# HOME_AWAY,INNING,INNING_TB,OUT_COUNT,BASE_STATE,UNDER_5,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIE,UPPER_1,UPPER_2,UPPER_3,UPPER_4,UPPER_5
A,4,0,2,23,0.096,0.145,0.21,0.294,0.395,0.508,0.621,0.72,0.801,0.863,0.909
A,4,0,2,123,0.112,0.164,0.232,0.318,0.419,0.53,0.638,0.734,0.811,0.87,0.914
A,4,0,3,0,0.063,0.1,0.153,0.226,0.322,0.438,0.56,0.671,0.763,0.836,0.89
H,4,1,0,0,0.11,0.164,0.237,0.329,0.44,0.562,0.678,0.774,0.847,0.9,0.937
H,4,1,0,1,0.138,0.2,0.28,0.378,0.489,0.606,0.713,0.799,0.865,0.912,0.945
H,4,1,0,2,0.152,0.218,0.304,0.407,0.522,0.637,0.739,0.82,0.88,0.922,0.951
H,4,1,0,12,0.185,0.259,0.348,0.452,0.561,0.669,0.762,0.836,0.891,0.93,0.956
H,4,1,0,3,0.162,0.233,0.324,0.432,0.551,0.666,0.763,0.838,0.893,0.932,0.958
H,4,1,0,13,0.199,0.277,0.372,0.481,0.594,0.7,0.789,0.857,0.906,0.94,0.963
H,4,1,0,23,0.217,0.3,0.4,0.511,0.623,0.724,0.807,0.87,0.915,0.946,0.967
H,4,1,0,123,0.252,0.339,0.439,0.545,0.65,0.744,0.821,0.879,0.921,0.95,0.969
H,4,1,1,0,0.093,0.142,0.21,0.299,0.409,0.534,0.655,0.756,0.835,0.892,0.931
H,4,1,1,1,0.111,0.166,0.239,0.332,0.443,0.565,0.68,0.775,0.848,0.901,0.937
H,4,1,1,2,0.12,0.178,0.255,0.352,0.466,0.587,0.698,0.789,0.858,0.908,0.942
H,4,1,1,12,0.141,0.204,0.285,0.383,0.494,0.609,0.715,0.801,0.866,0.913,0.945
H,4,1,1,3,0.132,0.195,0.277,0.38,0.499,0.62,0.726,0.811,0.874,0.919,0.949
H,4,1,1,13,0.154,0.222,0.309,0.412,0.527,0.642,0.743,0.823,0.882,0.924,0.952
H,4,1,1,23,0.168,0.241,0.331,0.438,0.552,0.664,0.76,0.835,0.891,0.93,0.956
H,4,1,1,123,0.19,0.265,0.356,0.459,0.569,0.675,0.768,0.84,0.894,0.932,0.957
H,4,1,2,0,0.082,0.127,0.191,0.277,0.386,0.513,0.638,0.744,0.825,0.885,0.927
H,4,1,2,1,0.09,0.138,0.205,0.293,0.403,0.528,0.651,0.753,0.832,0.89,0.93
H,4,1,2,2,0.095,0.145,0.214,0.305,0.417,0.542,0.662,0.762,0.839,0.894,0.933
H,4,1,2,12,0.105,0.158,0.23,0.322,0.432,0.555,0.672,0.769,0.844,0.898,0.935
H,4,1,2,3,0.097,0.148,0.218,0.311,0.423,0.548,0.667,0.766,0.842,0.896,0.934
H,4,1,2,13,0.109,0.163,0.236,0.329,0.441,0.563,0.679,0.774,0.847,0.9,0.937
H,4,1,2,23,0.114,0.17,0.244,0.339,0.45,0.571,0.685,0.778,0.85,0.902,0.938
H,4,1,2,123,0.131,0.191,0.269,0.364,0.474,0.591,0.701,0.79,0.858,0.908,0.942
H,4,1,3,0,0.076,0.119,0.181,0.265,0.372,0.5,0.628,0.735,0.819,0.881,0.924
A,5,0,0,0,0.076,0.119,0.181,0.265,0.372,0.5,0.628,0.735,0.819,0.881,0.924
A,5,0,0,1,0.099,0.151,0.222,0.313,0.424,0.548,0.667,0.765,0.841,0.896,0.934
A,5,0,0,2,0.11,0.167,0.243,0.342,0.458,0.583,0.696,0.788,0.858,0.908,0.942
A,5,0,0,12,0.14,0.205,0.289,0.39,0.503,0.619,0.724,0.808,0.871,0.917,0.947
A,5,0,0,3,0.118,0.179,0.261,0.365,0.488,0.614,0.723,0.809,0.874,0.919,0.949
A,5,0,0,13,0.151,0.22,0.31,0.418,0.537,0.654,0.753,0.831,0.889,0.929,0.956
A,5,0,0,23,0.166,0.241,0.337,0.449,0.569,0.681,0.774,0.847,0.899,0.936,0.96
A,5,0,0,123,0.2,0.281,0.379,0.487,0.599,0.704,0.791,0.858,0.907,0.94,0.963
A,5,0,1,0,0.061,0.099,0.155,0.234,0.339,0.468,0.602,0.715,0.805,0.871,0.918
A,5,0,1,1,0.077,0.12,0.183,0.267,0.375,0.503,0.63,0.737,0.821,0.882,0.925
A,5,0,1,2,0.084,0.13,0.197,0.287,0.399,0.527,0.65,0.753,0.833,0.89,0.93
A,5,0,1,12,0.102,0.155,0.227,0.319,0.43,0.552,0.67,0.767,0.842,0.897,0.934
A,5,0,1,3,0.092,0.144,0.216,0.313,0.433,0.563,0.681,0.778,0.851,0.903,0.939
A,5,0,1,13,0.112,0.17,0.248,0.347,0.464,0.588,0.701,0.792,0.86,0.909,0.943
